InstanceID	N0	N1	X	N2	Class
115	1480.4191419300378	1693.999287327073	3089.2380745504447	2232.1464408454426	0.841470985
10	2136.4163288463596	2215.851581238039	3572.9230803750174	2989.11859285643	0.412118485
476	1526.9522243971537	1497.4744176799795	2960.442648730499	2217.537694744105	0.841470985
483	1357.7989997649668	1397.5047427133609	2842.461184959762	2082.4285650631155	0.909297427
261	1618.5972776337305	1741.5853879626814	2915.2405687181026	2417.231682288107	-0.544021111
129	1349.5024724081707	1323.2613204402503	2575.4899769422505	1980.3134415810805	-0.756802495
437	1341.225968752978	1445.9573021378148	2674.210866967753	2052.843289552376	-0.756802495
132	2174.4303968657373	2429.1045063058955	3517.781698736653	3016.756236970601	0.0
96	2265.3980161903637	2245.7380048827545	3635.0575404597794	2989.724287665953	0.412118485
215	1351.9373594493775	1407.6200544957203	2848.308578761503	2051.575980773276	0.909297427
175	1402.7159773723301	1521.0390838452765	2947.7481961941266	2207.0681244695684	0.841470985
197	1584.1871982316725	1720.2800080383	3147.3978125145522	2289.702265104294	0.841470985
159	1627.382850021432	1662.881227888507	2865.733570173105	2374.5179997088812	-0.544021111
12	1568.2705615933144	1604.5025556659127	2803.9074577802976	2280.9672478693	-0.544021111
58	2119.1045423566875	2326.616069091838	3402.9040039709926	2887.5670110821916	0.0
242	1341.1950890602134	1387.5119706047958	2873.4762554901345	2087.25398728556	0.989358247
254	1514.5097787085638	1651.7755868746285	3023.2736014815287	2152.889144969508	0.841470985
164	1721.416383620863	1757.154636061283	3250.566111610538	2411.6650899008373	0.656986599
232	2089.4661011085695	2282.60318596281	3386.038658123409	2899.531766495497	0.0
150	1638.2374196174696	1629.0910267995603	3094.1699327642636	2312.202609165072	0.656986599
139	2158.270466880316	2340.200440641432	3588.4744537893625	2954.6203874562098	0.141120008
450	2107.889684773826	2155.9442384976896	3436.8123639021983	2840.7731052525032	-0.279415498
448	1580.6377565301118	1730.2765001469224	3182.6441740452806	2316.590374528447	0.656986599
317	886.9816111790494	933.720242822434	2177.827923422	1596.3037758296991	-0.958924275
81	2211.067053028194	2379.0445752973937	3655.7220756179054	3086.378420935506	0.141120008
85	2050.529735109816	2192.484003633594	3455.124251271798	2845.9027886577364	-0.279415498
35	993.540125717871	986.1521900881852	2217.6628457232196	1628.9102342322103	-0.958924275
435	1755.5360560315776	1775.9480323446394	3001.506948888353	2498.555234045416	-0.544021111
361	1435.2728601943252	1457.2628498471188	2681.5119607071965	2144.490070700608	-0.756802495
94	1906.9763800763715	1979.2114930954187	3468.1863228456486	2718.932608028352	0.656986599
56	1590.1577972837997	1606.8735829699815	3099.614202939912	2296.7223420415517	0.841470985
357	2076.3135218958573	2294.5875825784155	3349.027683658669	2909.6532865912845	0.0
127	1288.6696445256155	1300.6581092186902	2547.7595533825784	1961.2857384631168	-0.756802495
143	1530.7407195362625	1536.5303129703245	2941.3535220205054	2183.2691581333893	0.841470985
7	2136.37833598814	2353.048348486487	3461.403368307659	2940.557756849771	0.0
231	949.0381975826094	1049.7789857684295	2287.498718329232	1622.775799357538	-0.958924275
8	2144.023353538422	2315.040401228956	3430.7482955642176	2956.088806688784	0.0
42	2041.6860390892139	2121.0714640836504	3454.0118962607426	2806.680387167691	0.412118485
36	2196.3613672043684	2337.862154356398	3621.5066813339367	2975.081383359157	-0.279415498
16	885.1354121384945	981.8188928644665	2242.682403941483	1560.1849160712218	-0.958924275
492	1345.1906214567307	1402.6246957602427	2862.861981978406	2063.896898999573	0.989358247
282	1416.7117141779265	1423.4061816654505	2956.750080463021	2060.896541985746	0.989358247
46	1675.7579165507993	1708.15934215691	2910.8887017897036	2356.7618681997033	-0.544021111
92	1593.9597187869317	1739.4164786127233	3116.409968797376	2260.2664964447977	0.841470985
299	1013.161868928526	1127.6542818807234	2367.3757671830813	1730.006249525489	-0.958924275
281	1998.6490200674716	2094.420507036576	3564.047586022316	2755.8800825432763	0.656986599
90	1741.903988175974	1804.588640900419	3021.1894083498546	2548.243034607021	-0.544021111
