InstanceID	N1	X	N2	Class
116	2280.681204217324	4412.763947823325	1593.8983242007976	90.0
257	2075.025093981711	4140.8954912818335	1418.8000121757834	124.0
86	2620.0215607077002	5008.140596114927	2105.5115148596706	64.0
87	1458.9778654077093	3968.958781907256	1643.0331458730182	74.0
341	1870.1512743013802	3895.706688091169	1296.4359437191108	148.0
296	2125.5065894955715	4318.192604563993	1446.9272259780648	110.0
303	2407.4158203258767	4590.437283502521	1856.55340163438	84.0
314	1550.8950244458993	3746.2292788214895	1534.1214017966718	98.0
157	1969.9092184989922	4073.6909571957076	1374.2456765082293	124.0
22	2442.069663676008	4631.99715582354	1779.757445275077	94.0
240	1714.75786747144	3378.0234460251895	1254.7251971606483	170.0
409	2297.3245478300137	4576.556109240365	1764.1884155896412	102.0
250	2248.5071261009953	4337.538021124371	1424.063751502701	104.0
189	2162.2028294975466	4444.481855284547	2109.80932668213	32.0
361	1602.1030652340203	3815.9177783711207	1745.550687783383	10.0
266	2344.9033182399157	4319.3822724324755	1612.3221711282695	84.0
83	2053.1285093088204	4074.6164978868505	1475.574031210281	124.0
55	1095.2066361344441	2549.227761757858	890.8109321237586	190.0
260	2019.321137493038	4310.508006737523	1647.4073154240477	98.0
339	1354.5030436283798	2790.705991847191	976.9260296376359	192.0
394	1848.379569988008	3985.2928557405144	1348.1117477139217	152.0
44	1417.426699899819	3650.6332393708276	1339.7226979562201	138.0
191	1845.2613797671934	3629.9521579342304	1329.1775184722137	166.0
345	1284.2609148849608	3547.36476460711	1560.259729638452	12.0
280	2014.1409750120658	4025.290114018126	1920.1236505028862	12.0
187	2310.798793866028	4807.145260040015	2060.3773938510776	46.0
88	1410.9278501051176	3558.4228341905223	1544.7579146984963	6.0
340	1921.4572300129903	3943.066831164234	1983.3687046776015	4.0
212	2202.9213345479825	4457.807444585563	1628.280175758471	70.0
206	1979.1975446290712	3918.6453629487023	1355.170436335642	92.0
124	1810.068968607733	3543.357883656602	1250.0295535800271	164.0
245	2030.0313036938276	4266.7325733465395	1610.7423380579742	98.0
17	1348.1472424919796	3371.520446516293	1186.9944641476814	96.0
301	2333.124703215685	4420.406290507442	1607.947821727203	92.0
201	1199.5727069486954	2413.0238955684654	944.1095393876649	198.0
258	1936.2747535224075	3894.786925422367	1383.2095076083526	144.0
255	1988.690398422025	4097.77495977827	1995.242691458519	10.0
300	1239.5934384069785	3533.2124357867674	1584.8426619492782	8.0
145	1739.8148432128912	3379.4806327513	1095.838641228592	174.0
155	1867.3687861337419	3577.5196957306152	1288.7384297080444	168.0
97	2361.2148182070596	4564.665327584407	1812.1941959507108	84.0
343	1924.2247849315822	4351.311005884851	1724.007047241121	60.0
259	1401.936898053283	3841.9661451696675	1596.6245642940257	66.0
400	2430.5071836870393	4664.859915433347	1780.6229641274256	64.0
256	2144.066633293294	4673.2059739329325	1883.296184813697	40.0
364	1940.0094828574208	3693.845687992634	1323.8714728491184	164.0
415	1393.8156990339492	3883.6750779038907	1607.4204505656778	22.0
170	1699.9161089410673	3555.8639455673474	1190.440734223443	162.0
61	1977.686741217079	3927.6685448546295	1626.7844076741296	134.0
151	2335.759564896071	4784.089301123712	2079.7095111977337	52.0
370	994.5043301843463	2424.720055759642	786.9646780528218	194.0
322	1431.696045645932	3980.0504514262952	1607.0084982914868	42.0
95	1741.8630435139503	3219.618805746073	1178.9940816843166	184.0
51	1910.0702467487022	3949.4980658233753	1290.237091994839	148.0
328	2534.2792173434104	4771.356729880628	1940.8638559290025	82.0
284	1294.8717348566283	3535.533290789394	1548.4608212833296	12.0
213	1600.4734789030163	2979.347673854198	1044.31324050307	190.0
408	2272.0281282751457	4446.283974156639	1789.9426813801153	124.0
148	2351.892134330535	4550.185767597201	1761.1345434063862	90.0
235	953.3118948739191	2313.114502324866	838.5734678287359	196.0
112	1912.9812700619088	3969.6472117091316	1635.8059806686153	128.0
346	2323.98542238478	4486.126437732843	1725.630169979204	126.0
118	1823.4939744148217	3652.0827029635407	1327.1445791164895	166.0
176	2603.821989558839	5217.720196986929	2125.6111128629996	56.0
119	2127.2194660847886	4451.107214381866	1561.8242025897175	112.0
283	2105.0599634110004	4194.864474561067	1526.8192078471739	134.0
435	2295.5347436100064	4376.888220808476	1584.9473790551046	120.0
224	2346.6772278121803	4533.182467448808	1769.2335908044245	96.0
439	1414.7372673221205	2856.2562599563353	989.5462818255221	194.0
113	2482.7246450701236	4971.334427066718	1945.3787637741493	58.0
270	2328.147394264437	4757.230614995295	1762.4769200164062	60.0
425	1573.2301449109152	3087.0654349760125	1048.2460149580495	184.0
371	1635.6425548824604	3079.116852537924	1105.417081433572	188.0
216	2214.7216523341804	4548.25769098118	1738.9057267976134	116.0
110	2526.4251753512603	4915.423986767799	2134.2444504694918	66.0
351	1290.8598477271569	3062.0917274393087	971.6234458155479	178.0
195	2277.3920538177763	4504.4339896440015	2200.9804012228115	18.0
4	1215.628997970825	3247.6397511263826	1018.3995930175323	158.0
277	1458.7367558907622	3955.6310764255395	1691.6506929001157	66.0
332	2311.0329079623007	4788.553603545714	2028.3562292866397	72.0
13	2407.2418459609876	4969.703397057253	2111.6569940268746	46.0
11	1559.3752212178179	2918.9470251959556	1033.0928098571158	194.0
15	1430.7744325764402	3269.950807163327	1094.2825381257308	170.0
162	2441.5857343918206	4893.885912953515	1957.3858715599918	50.0
52	2259.63279324939	4686.531657945623	1878.1888555889905	60.0
302	2080.37412690124	4623.42978721013	1792.4481086395283	50.0
117	1374.6847709117708	3598.746191528638	1594.820721835846	6.0
440	1979.533985834735	3930.1527653642283	1380.8870168816875	150.0
369	1513.6165258722485	2921.882262683299	1035.608242361527	194.0
136	2173.473040961972	4370.565492132443	1711.1430092457285	88.0
228	1721.7846495222432	3183.2477061292866	1143.5572705497011	186.0
356	1819.469623671564	4107.233462116769	1587.6378238215352	88.0
1	1789.4568380561582	4066.606484336316	1638.7983050433138	98.0
392	1310.181554814546	3120.0996736055204	999.526125553702	174.0
390	2420.696458710553	4835.733976467268	1925.5741961712918	74.0
311	1531.6597681976841	3729.674541559412	1713.0287048674402	4.0
221	1028.821855513812	2512.210023824333	814.8213647242434	190.0
199	1942.5558670061446	3845.738772773829	1368.2407763227613	162.0
14	1842.1496857670559	4048.2042540571215	1879.4596721258322	12.0
249	1612.3925315474396	3896.3327528224922	1627.4467086743773	88.0
48	2135.8617389913056	4314.29621539552	1665.770791444077	102.0
107	2440.190875164323	4946.625564732149	1909.0169559464698	56.0
403	1963.1142441873885	3899.1440216504143	1414.7130249152376	152.0
194	1507.1466010238562	3014.384325913621	972.6488907181823	184.0
333	2111.000593866844	4248.974734309206	1544.9658831605218	114.0
241	1286.1201951539738	3454.011928790475	1213.8770994373388	138.0
230	2494.8199199461983	5089.136374396288	1978.1447604242373	56.0
389	2289.2285051920635	4852.3432937603675	1952.5715838913893	44.0
253	2321.1572556745664	4792.336189004983	1979.5061159273898	60.0
60	2282.6787084135676	4436.287425891473	1705.271133678423	94.0
130	1658.043585287107	3036.2987333256533	1165.7207187117303	190.0
